weather_condition,days,mean_revenue,median_revenue,std_revenue,min_revenue,max_revenue,difference_vs_dry,percent_change_vs_dry,baseline_category
Dry,169,68931.46491124261,70355.03,14625.140861615579,30328.19,96694.14,0.0,0.0,Dry
Light precipitation,89,68923.36359550562,70026.56,13741.83252320837,30774.14,92374.29,-8.101315736988909,-0.011752710822873571,Dry
Rain,83,65942.36530120482,70133.8,16823.096721708862,24032.25,96902.26,-2989.099610037796,-4.336335538330157,Dry
Snow,24,53262.51,59881.53999999999,21548.591052359257,6356.69,91730.44,-15668.95491124261,-22.73120835516587,Dry
