variable,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper,significance,direction
Intercept,2548.0309632975827,159.54040798263262,15.971069621277127,8.716226432422055e-44,2234.282712038969,2861.7792145561966,highly significant,positive
avg_temperature_f,3.5395304267883567,1.9952221461094355,1.7740031773856513,0.07690782045616143,-0.3842244835190032,7.463285337095717,not statistically significant,positive
precipitation_inches,-176.12970140513377,86.02092894276805,-2.0475214993588065,0.04133221744159095,-345.29634933280454,-6.963053477462978,statistically significant,negative
snowfall_inches,-262.92926806861664,54.19945915444438,-4.85114191489227,1.8308307230224166e-06,-369.51659440114514,-156.34194173608813,highly significant,negative
max_wind_speed_mph,6.7420775926933905,7.593177783404044,0.8879125163418599,0.3751806506204876,-8.190479501545187,21.674634686931967,not statistically significant,positive
