x,y,n,r_squared,adjusted_r_squared,coefficient,coefficient_p_value,coefficient_ci_lower,coefficient_ci_upper
avg_temperature_f,total_trips,365,0.014364174968152454,0.011648924761453183,4.584117693415173,0.022012630793646088,0.6647243310124753,8.50351105581787
precipitation_inches,total_trips,365,0.01773630151140171,0.015030340909504836,-212.85625728045147,0.010865831941110737,-376.35489320971317,-49.35762135118978
snowfall_inches,total_trips,365,0.0803331633944141,0.07779964593820043,-293.5389122980591,3.593239409647657e-08,-396.0518562409492,-191.02596835516897
max_wind_speed_mph,total_trips,365,0.0014033316065704682,-0.001347623402777831,-5.343406980329762,0.47554365196560916,-20.0556318098958,9.368817849236276
