weather_condition,count,mean,std,difference_vs_baseline,percent_change_vs_baseline,baseline_category
Dry,169,2848.6863905325445,592.2163093127887,0.0,0.0,Dry
Light precipitation,89,2854.9101123595506,560.4977422801306,6.223721827006102,0.21847690387015944,Dry
Rain,83,2739.759036144578,680.3103235658556,-108.92735438796626,-3.8237748721649547,Dry
Snow,24,2251.625,848.8974338875513,-597.0613905325445,-20.959182889237855,Dry
