borough,pickup_zone,total_trips,avg_trip_distance_miles
Brooklyn,Red Hook,1142,6.760000000
Queens,East Elmhurst,1142,6.550000000
Queens,Woodhaven,1074,7.650000000
Bronx,Riverdale/North Riverdale/Fieldston,1066,9.730000000
Brooklyn,Dyker Heights,1059,5.340000000
Bronx,Pelham Bay,985,7.240000000
Manhattan,Manhattan Valley,969,7.420000000
Queens,Springfield Gardens South,960,11.070000000
Queens,Middle Village,947,5.890000000
Manhattan,Marble Hill,925,6.270000000
Staten Island,Bloomfield/Emerson Hill,923,26.470000000
Queens,Cambria Heights,869,12.170000000
Manhattan,Murray Hill,864,10.100000000
Brooklyn,Windsor Terrace,861,6.330000000
Brooklyn,Manhattan Beach,855,7.420000000
Queens,Maspeth,839,6.390000000
Manhattan,Upper West Side North,793,7.520000000
Queens,Bellerose,755,11.010000000
Queens,Auburndale,728,5.940000000
Queens,Rosedale,713,11.010000000
Queens,Murray Hill-Queens,694,8.350000000
Brooklyn,South Williamsburg,673,7.040000000
Queens,Bayside,656,8.990000000
Queens,Howard Beach,607,9.730000000
Manhattan,Two Bridges/Seward Park,600,8.720000000
Queens,Rockaway Park,588,13.590000000
Manhattan,Lenox Hill West,582,8.610000000
Brooklyn,Prospect Park,556,4.490000000
Manhattan,Gramercy,541,9.110000000
Manhattan,Roosevelt Island,528,7.670000000
Manhattan,East Chelsea,528,9.780000000
Queens,Fresh Meadows,520,7.330000000
Bronx,Van Cortlandt Park,511,9.660000000
Manhattan,Upper East Side South,468,9.090000000
Manhattan,Clinton East,459,9.980000000
Manhattan,Yorkville East,405,7.770000000
Manhattan,Inwood Hill Park,394,7.360000000
Brooklyn,Ocean Parkway South,394,6.480000000
Bronx,City Island,378,16.010000000
Queens,Whitestone,377,10.630000000
Bronx,Bronx Park,374,7.600000000
Staten Island,Mariners Harbor,367,23.660000000
Manhattan,Lincoln Square East,363,9.540000000
Manhattan,TriBeCa/Civic Center,361,9.980000000
Queens,College Point,360,9.400000000
Staten Island,Grymes Hill/Clifton,347,16.980000000
Manhattan,Flatiron,343,9.380000000
Queens,Glen Oaks,335,10.600000000
Manhattan,Union Sq,333,9.550000000
Queens,Ozone Park,319,8.690000000
Brooklyn,Brooklyn Navy Yard,319,5.000000000
Queens,Bay Terrace/Fort Totten,319,11.170000000
Manhattan,Lincoln Square West,314,8.560000000
Manhattan,UN/Turtle Bay South,313,9.540000000
Manhattan,Chinatown,309,9.360000000
Queens,JFK Airport,307,15.320000000
Manhattan,Midtown East,307,10.820000000
Manhattan,Midtown Center,307,10.430000000
Manhattan,Clinton West,302,8.250000000
Manhattan,Penn Station/Madison Sq West,295,10.700000000
Manhattan,East Village,279,9.100000000
Manhattan,Upper West Side South,279,7.790000000
Manhattan,Sutton Place/Turtle Bay North,271,9.260000000
Queens,Oakland Gardens,269,9.540000000
Manhattan,Midtown South,266,10.250000000
Manhattan,Garment District,260,10.190000000
Queens,Saint Michaels Cemetery/Woodside,257,4.820000000
Queens,East Flushing,254,7.770000000
Brooklyn,Columbia Street,254,6.540000000
Manhattan,Alphabet City,251,9.230000000
Manhattan,Greenwich Village North,250,9.290000000
Manhattan,Financial District North,241,10.740000000
Queens,Douglaston,217,10.990000000
Manhattan,Times Sq/Theatre District,212,10.080000000
Manhattan,Highbridge Park,198,8.510000000
Manhattan,Seaport,193,10.090000000
Manhattan,Midtown North,192,9.720000000
Queens,Willets Point,188,9.710000000
Manhattan,Stuy Town/Peter Cooper Village,181,8.180000000
Queens,LaGuardia Airport,173,8.510000000
Staten Island,Arden Heights,172,19.840000000
Bronx,Pelham Bay Park,165,9.420000000
Manhattan,Lower East Side,157,9.900000000
Manhattan,West Village,148,8.790000000
Manhattan,Little Italy/NoLiTa,147,9.840000000
Manhattan,Financial District South,142,12.170000000
Manhattan,Randalls Island,141,9.870000000
Queens,Forest Park/Highland Park,133,6.500000000
Manhattan,West Chelsea/Hudson Yards,133,10.080000000
Staten Island,Saint George/New Brighton,110,11.530000000
Manhattan,World Trade Center,100,10.510000000
Bronx,Country Club,95,7.280000000
Brooklyn,Marine Park/Floyd Bennett Field,91,10.660000000
Bronx,Crotona Park,90,6.130000000
Staten Island,Heartland Village/Todt Hill,84,18.950000000
Staten Island,Charleston/Tottenville,78,24.400000000
Staten Island,Stapleton,68,15.610000000
Manhattan,Battery Park City,60,12.500000000
Manhattan,Greenwich Village South,57,9.120000000
Staten Island,Arrochar/Fort Wadsworth,55,22.790000000
Queens,Astoria Park,52,5.090000000
Manhattan,SoHo,45,9.470000000
Queens,Breezy Point/Fort Tilden/Riis Beach,37,15.040000000
Staten Island,Eltingville/Annadale/Prince's Bay,34,19.500000000
Manhattan,Hudson Sq,32,9.710000000
Manhattan,Meatpacking/West Village West,24,10.610000000
Brooklyn,Green-Wood Cemetery,22,5.890000000
Staten Island,Port Richmond,22,16.580000000
Staten Island,South Beach/Dongan Hills,18,13.950000000
Staten Island,Freshkills Park,17,19.620000000
Staten Island,Great Kills,13,16.820000000
Queens,Broad Channel,12,12.320000000
Staten Island,West Brighton,11,14.470000000
Staten Island,New Dorp/Midland Beach,10,11.280000000
Staten Island,Westerleigh,10,22.270000000
Staten Island,Rossville/Woodrow,7,27.570000000
Staten Island,Oakwood,5,24.590000000
EWR,Newark Airport,5,13.020000000
Queens,Jamaica Bay,4,15.270000000
Manhattan,Battery Park,3,5.300000000
